Job Title,Job URL,Company Name,Company URL,Exp,Salary,Location,Skills,Posted
Data Engineer: Machine Learning,https://www.naukri.com/job-listings-data-engineer-machine-learning-ibm-india-pvt-limited-bangalore-bengaluru-4-to-8-years-310122902387?src=jobsearchDesk&sid=1643778307316381&xp=1&px=1,IBM,https://www.naukri.com/ibm-jobs-careers-16987,4-8 Yrs,Not disclosed,Bangalore/Bengaluru,deep learning|Interpersonal skills|Time management|Creative designing|Machine learning|Cloud|Application development|Open source,1 Day Ago
Data Engineer: Machine Learning,https://www.naukri.com/job-listings-data-engineer-machine-learning-ibm-india-pvt-limited-bengaluru-bangalore-4-to-6-years-280122906053?src=jobsearchDesk&sid=1643778307316381&xp=2&px=1,IBM,https://www.naukri.com/ibm-jobs-careers-16987,4-6 Yrs,Not disclosed,Bengaluru/Bangalore,deep learning|Interpersonal skills|Time management|Creative designing|Machine learning|Cloud|Application development|Open source,4 Days Ago
Manager - Machine Learning Engineer ( Data Science ) ( Females only ),https://www.naukri.com/job-listings-manager-machine-learning-engineer-data-science-females-only-pylon-management-consulting-pvt-ltd-bangalore-bengaluru-7-to-9-years-310122006439?src=jobsearchDesk&sid=1643778307316381&xp=3&px=1,Pylon Management Consulting Pvt Ltd,https://www.naukri.com/pylon-management-consulting-jobs-careers-25659,7-9 Yrs,Not disclosed,Remote,Data Science|Machine Learning|Deep Learning|IT Skills|Java|Python|Software Development|Cloud,1 Day Ago
Data Scientist-Python Machine Learning,https://www.naukri.com/job-listings-data-scientist-python-machine-learning-jubna-noida-ncr-3-to-5-years-310122902979?src=jobsearchDesk&sid=1643778307316381&xp=4&px=1,Jubna,https://www.naukri.com/premium-service-jobs-careers-872138,3-5 Yrs,Not disclosed,"Noida, NCR",mapping|ML algorithms|analyses data|machine learning|IT Skills|AI|Python,1 Day Ago
Senior/Lead Data Scientist - Machine Learning/Deep Learning,https://www.naukri.com/job-listings-senior-lead-data-scientist-machine-learning-deep-learning-squareroot-consulting-pvt-ltd-bangalore-bengaluru-1-to-6-years-010320600083?src=jobsearchDesk&sid=1643778307316381&xp=5&px=1,Squareroot Consulting Pvt Ltd.,https://www.naukri.com/squareroot-consulting-jobs-careers-2172866,1-6 Yrs,Not disclosed,Bangalore/Bengaluru,Visualization|Exploratory Testing|Machine Learning|PHD|Deep Learning|.|Data Structure|NLP,
"Senior Machine Learning Engineer, NLP",https://www.naukri.com/job-listings-senior-machine-learning-engineer-nlp-cactus-communications-pvt-ltd-india-9513-3-to-8-years-291121003235?src=jobsearchDesk&sid=1643778307316381&xp=6&px=1,Cactus Global,https://www.naukri.com/cactus-global-jobs-careers-1360462,3-8 Yrs,Not disclosed,Remote,Tensorflow|Data Science|NLP|Artificial Intelligence|Natural Language Processing|Neural Networks|Information Extraction|Information Retrieval,1 Day Ago
Machine Learning Application Developer,https://www.naukri.com/job-listings-machine-learning-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-2-to-4-years-310122910683?src=jobsearchDesk&sid=1643778307316381&xp=7&px=1,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,2-4 Yrs,Not disclosed,Bangalore/Bengaluru,Machine Learning|R code|analytical|Agile|communication|modeling|waterfall|MACHINE LEARNING1,1 Day Ago
Machine Learning Data Science Practitioner,https://www.naukri.com/job-listings-machine-learning-data-science-practitioner-accenture-solutions-pvt-ltd-pune-12-to-15-years-311221904952?src=jobsearchDesk&sid=1643778307316381&xp=8&px=1,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,12-15 Yrs,Not disclosed,Pune,IT Skills|Python|Data Science|Machine Learning|Big Data|deep learning|Architecture|Consulting,1 Day Ago
Machine Learning Data Science Practitioner,https://www.naukri.com/job-listings-machine-learning-data-science-practitioner-accenture-solutions-pvt-ltd-bangalore-bengaluru-15-to-18-years-310122910734?src=jobsearchDesk&sid=1643778307316381&xp=9&px=1,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,15-18 Yrs,Not disclosed,Bangalore/Bengaluru,IT Skills|Java|Python|Data Science|Machine Learning|Oracle|Big Data|Architecture,1 Day Ago
Machine Learning Data Science Practitioner,https://www.naukri.com/job-listings-machine-learning-data-science-practitioner-accenture-solutions-pvt-ltd-bangalore-bengaluru-12-to-15-years-310122910375?src=jobsearchDesk&sid=1643778307316381&xp=10&px=1,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,12-15 Yrs,Not disclosed,Bangalore/Bengaluru,IT Skills|Java|Python|Data Science|Machine Learning|Oracle|Big Data|Architecture,1 Day Ago
"Software Engineer NLP, Machine Learning",https://www.naukri.com/job-listings-software-engineer-nlp-machine-learning-global-technologies-bangalore-bengaluru-7-to-10-years-310122905427?src=jobsearchDesk&sid=1643778307316381&xp=11&px=1,Global Technologies,https://www.naukri.com/premium-jobs-careers-852658,7-10 Yrs,Not disclosed,Bangalore/Bengaluru,NLTK|Stanford CoreNLP|Spacy|communication|PyTorch|Microservices|Scrum|Python,1 Day Ago
Software Developer - NLP /machine Learning/ Data Science,https://www.naukri.com/job-listings-software-developer-nlp-machine-learning-data-science-cunesoft-bangalore-bengaluru-3-to-5-years-260919903903?src=jobsearchDesk&sid=1643778307316381&xp=12&px=1,Cunesoft,https://www.naukri.com/premium-jobs-jobs-careers-678662,3-5 Yrs,Not disclosed,Bangalore/Bengaluru,IT Skills|Java|Python|Testing|Machine Learning|Cloud|Project Management|C#,12 Days Ago
Software Developer - NLP/ Machine Learning/ Data Science,https://www.naukri.com/job-listings-software-developer-nlp-machine-learning-data-science-cunesoft-bangalore-bengaluru-3-to-5-years-141019908242?src=jobsearchDesk&sid=1643778307316381&xp=13&px=1,Cunesoft,https://www.naukri.com/premium-jobs-jobs-careers-678662,3-5 Yrs,Not disclosed,Bangalore/Bengaluru,IT Skills|Java|Python|Testing|Machine Learning|Cloud|Project Management|C#,12 Days Ago
Machine Learning Architect,https://www.naukri.com/job-listings-machine-learning-architect-netmeds-marketplace-limited-chennai-5-to-10-years-010222010323?src=jobsearchDesk&sid=1643778307316381&xp=14&px=1,Netmeds,https://www.naukri.com/netmeds-jobs-careers-2139226,5-10 Yrs,Not disclosed,Chennai,Design|Data Science|Pattern Recognition|Artificial Intelligence|Neural Networks|Big Data|ci/cd|Computer Vision,1 Day Ago
Machine Learning Applications Engineer,https://www.naukri.com/job-listings-machine-learning-applications-engineer-qualcomm-technologies-inc-chennai-3-to-8-years-270122501489?src=jobsearchDesk&sid=1643778307316381&xp=15&px=1,"Qualcomm Technologies, Inc",https://www.naukri.com/qualcomm-jobs-careers-600837,3-8 Yrs,Not disclosed,Chennai,Computer science|C++|Coding|Staffing|Analytical|Machine learning|Debugging|Data structures,
Machine Learning Application Developer,https://www.naukri.com/job-listings-machine-learning-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-4-to-6-years-310122910080?src=jobsearchDesk&sid=1643778307316381&xp=16&px=1,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,4-6 Yrs,Not disclosed,Bangalore/Bengaluru,Java Servlet|Machine Learning|analytical|java|communication|IT Skills|Business process|Analytical skills,1 Day Ago
Machine Learning Application Developer,https://www.naukri.com/job-listings-machine-learning-application-developer-accenture-solutions-pvt-ltd-mumbai-4-to-8-years-310122910582?src=jobsearchDesk&sid=1643778307316381&xp=17&px=1,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,4-8 Yrs,Not disclosed,Mumbai,IT Skills|Python|Software Development|Machine Learning|Cloud|Business process|Consulting|Agile,1 Day Ago
Machine Learning Engineer - Innovation Center Network,https://www.naukri.com/job-listings-machine-learning-engineer-innovation-center-network-sap-india-pvt-ltd-bangalore-bengaluru-3-to-8-years-280122906361?src=jobsearchDesk&sid=1643778307316381&xp=18&px=1,SAP India Pvt. Ltd,https://www.naukri.com/sap-labs-india-jobs-careers-18532,3-8 Yrs,Not disclosed,Bangalore/Bengaluru,Scikit-learn|Machine Learning|TensorFlow|multi - threaded programming|data structures|Python|R|objects oriented programming,4 Days Ago
Senior AI Engineer - Python/R/Machine Learning,https://www.naukri.com/job-listings-senior-ai-engineer-python-r-machine-learning-accubits-technologies-trivandrum-thiruvananthapuram-5-to-8-years-290122902154?src=jobsearchDesk&sid=1643778307316381&xp=19&px=1,Accubits Technologies,https://www.naukri.com/premium-jobs-jobs-careers-678662,5-8 Yrs,Not disclosed,Trivandrum/Thiruvananthapuram,R|Machine Learning|Python|IT Skills|Testing|Big Data|Tensorflow|Develop ML Algorithms,3 Days Ago
